str_h	y_down	m_top	m_bot	m_side	m_sum
0.000	0.249	297.182	294.551	12.561	604.294
0.000	0.403	225.261	237.378	27.672	490.313
0.000	0.481	190.080	222.327	49.159	461.564
0.000	0.558	161.544	211.467	65.963	438.972
0.000	0.635	146.581	199.989	66.844	413.415
0.000	0.712	134.746	191.293	70.912	396.952

-0.800	0.249	350.816	374.021	47.679	772.515
-0.800	0.403	253.752	259.311	53.180	566.245
-0.800	0.481	213.881	226.655	57.618	498.154
-0.800	0.558	188.442	205.603	62.047	456.092
-0.800	0.635	174.466	196.192	66.506	437.164
-0.800	0.712	154.328	195.919	70.963	421.210

-1.000	0.249	363.681	391.414	48.862	803.953
-1.000	0.403	258.118	275.555	53.209	586.883
-1.000	0.481	225.322	238.220	57.604	521.145
-1.000	0.558	201.612	214.755	62.046	478.413
-1.000	0.635	171.877	203.370	66.418	441.665
-1.000	0.712	163.553	201.207	70.912	435.673

-1.100	0.249	380.079	398.521	49.032	827.631
-1.100	0.403	267.143	279.590	53.134	599.866
-1.100	0.481	231.158	238.954	57.667	527.779
-1.100	0.558	197.327	218.001	62.040	477.368
-1.100	0.635	191.553	205.935	66.481	463.971
-1.100	0.712	158.352	203.948	70.897	433.199

-1.200	0.249	383.525	410.374	50.351	844.249
-1.200	0.403	279.228	288.331	53.186	620.745
-1.200	0.481	233.614	249.500	57.583	540.696
-1.200	0.558	213.922	221.683	62.125	497.728
-1.200	0.635	180.457	210.067	66.523	457.046
-1.200	0.712	167.492	205.426	71.001	443.918

-1.300	0.249	401.418	424.040	50.413	875.868
-1.300	0.403	285.115	297.451	53.649	636.214
-1.300	0.481	251.131	255.015	57.656	563.801
-1.300	0.558	212.049	229.543	62.067	503.658
-1.300	0.635	191.030	215.968	66.550	473.548
-1.300	0.712	170.765	209.184	70.962	450.912

-1.400	0.249	431.880	451.562	51.974	935.418
-1.400	0.403	291.199	306.178	54.263	651.640
-1.400	0.481	253.054	265.073	57.593	575.719
-1.400	0.558	222.782	233.403	61.948	518.132
-1.400	0.635	197.192	218.301	66.423	481.917
-1.400	0.712	175.591	210.828	70.877	457.295

