str_h	y_down	m_top	m_bot	m_side	m_sum
0.000	0.249	100.0	100.0	100.0	100.0
0.000	0.403	75.8	80.6	220.3	81.1
0.000	0.481	64.0	75.5	391.4	76.4
0.000	0.558	54.4	71.8	525.1	72.6
0.000	0.635	49.3	67.9	532.2	68.4
0.000	0.712	45.3	64.9	564.5	65.7
					
-0.800	0.249	118.0	127.0	379.6	127.8
-0.800	0.403	85.4	88.0	423.4	93.7
-0.800	0.481	72.0	76.9	458.7	82.4
-0.800	0.558	63.4	69.8	494.0	75.5
-0.800	0.635	58.7	66.6	529.5	72.3
-0.800	0.712	51.9	66.5	564.9	69.7
					
-1.000	0.249	122.4	132.9	389.0	133.0
-1.000	0.403	86.9	93.6	423.6	97.1
-1.000	0.481	75.8	80.9	458.6	86.2
-1.000	0.558	67.8	72.9	494.0	79.2
-1.000	0.635	57.8	69.0	528.8	73.1
-1.000	0.712	55.0	68.3	564.5	72.1
					
-1.100	0.249	127.9	135.3	390.4	137.0
-1.100	0.403	89.9	94.9	423.0	99.3
-1.100	0.481	77.8	81.1	459.1	87.3
-1.100	0.558	66.4	74.0	493.9	79.0
-1.100	0.635	64.5	69.9	529.3	76.8
-1.100	0.712	53.3	69.2	564.4	71.7
					
-1.200	0.249	129.1	139.3	400.9	139.7
-1.200	0.403	94.0	97.9	423.4	102.7
-1.200	0.481	78.6	84.7	458.4	89.5
-1.200	0.558	72.0	75.3	494.6	82.4
-1.200	0.635	60.7	71.3	529.6	75.6
-1.200	0.712	56.4	69.7	565.2	73.5
					
-1.300	0.249	135.1	144.0	401.3	144.9
-1.300	0.403	95.9	101.0	427.1	105.3
-1.300	0.481	84.5	86.6	459.0	93.3
-1.300	0.558	71.4	77.9	494.1	83.3
-1.300	0.635	64.3	73.3	529.8	78.4
-1.300	0.712	57.5	71.0	564.9	74.6
					
-1.400	0.249	145.3	153.3	413.8	154.8
-1.400	0.403	98.0	103.9	432.0	107.8
-1.400	0.481	85.2	90.0	458.5	95.3
-1.400	0.558	75.0	79.2	493.2	85.7
-1.400	0.635	66.4	74.1	528.8	79.7
-1.400	0.712	59.1	71.6	564.3	75.7
