str_h	y_down	sq_top	sq_bot	sq_sidesq_sum
0.000	0.249	2.730	2.730	4.000	9.520
0.000	0.403	2.740	2.730	5.210	10.720
0.000	0.481	2.760	2.730	5.820	11.340
0.000	0.558	2.760	2.730	6.450	11.950
0.000	0.635	2.780	2.730	7.090	12.590
0.000	0.712	2.800	2.730	7.640	13.200

-0.800	0.249	2.910	2.910	4.000	9.850
-0.800	0.403	2.850	2.910	5.210	10.990
-0.800	0.481	2.830	2.910	5.840	11.570
-0.800	0.558	2.810	2.910	6.450	12.150
-0.800	0.635	2.780	2.910	7.090	12.770
-0.800	0.712	2.770	2.910	7.680	13.350

-1.000	0.249	3.000	3.010	4.000	10.000
-1.000	0.403	2.930	3.010	5.230	11.160
-1.000	0.481	2.890	3.010	5.820	11.720
-1.000	0.558	2.860	3.010	6.440	12.310
-1.000	0.635	2.840	3.010	7.050	12.900
-1.000	0.712	2.820	3.010	7.660	13.480

-1.100	0.249	3.050	3.050	4.000	10.110
-1.100	0.403	2.980	3.050	5.210	11.240
-1.100	0.481	2.930	3.050	5.820	11.820
-1.100	0.558	2.910	3.050	6.410	12.390
-1.100	0.635	2.870	3.050	7.070	12.980
-1.100	0.712	2.850	3.050	7.660	13.560

-1.200	0.249	3.110	3.110	4.000	10.210
-1.200	0.403	3.030	3.110	5.210	11.350
-1.200	0.481	2.990	3.110	5.820	11.910
-1.200	0.558	2.950	3.110	6.450	12.500
-1.200	0.635	2.920	3.110	7.070	13.070
-1.200	0.712	2.880	3.110	7.640	13.660

-1.300	0.249	3.160	3.160	4.000	10.330
-1.300	0.403	3.070	3.160	5.230	11.470
-1.300	0.481	3.040	3.160	5.860	12.030
-1.300	0.558	3.000	3.160	6.450	12.610
-1.300	0.635	2.970	3.160	7.070	13.170
-1.300	0.712	2.920	3.160	7.660	13.740

-1.400	0.249	3.230	3.230	4.000	10.440
-1.400	0.403	3.130	3.230	5.210	11.560
-1.400	0.481	3.090	3.230	5.820	12.140
-1.400	0.558	3.050	3.230	6.400	12.700
-1.400	0.635	3.020	3.230	7.030	13.270
-1.400	0.712	2.970	3.230	7.660	13.840

